기준일자,요일,시간대,격자_50,업종대분류,카드이용금액계,카드이용건수계
20240107,일요일,1,다사631a547a,편의점,48096,5
20240107,일요일,3,다사513a493b,편의점,209068,18
20240107,일요일,6,다사565a577b,편의점,318113,37
20240107,일요일,4,다사573b605b,농수산물,63433,5
20240107,일요일,1,다사628a556b,편의점,132202,17
20240107,일요일,4,다사519a422b,한식,1358770,14
20240107,일요일,4,다사588a438a,편의점,282425,17
20240107,일요일,2,다사534a526b,한식,216672,10
20240107,일요일,5,다사599b615b,한식,459515,63
20240107,일요일,3,다사652b443a,생활잡화/수입상품점,1431127,32
20240107,일요일,4,다사601b500b,커피전문점,180304,20
20240107,일요일,2,다사589b428a,편의점,28105,7
20240107,일요일,3,다사621b491a,제과점,772570,51
20240107,일요일,4,다사483b447a,정육점,430288,5
20240107,일요일,3,다사573b576b,한식,510385,9
20240107,일요일,5,다사589a609b,약국,669849,77
20240107,일요일,5,다사713a520a,기타식품,193748,47
20240107,일요일,3,다사596a561b,독서실,41921,9
20240107,일요일,2,다사642b550a,편의점,124382,14
20240107,일요일,4,다사637b505b,편의점,131590,23
20240107,일요일,5,다사480b506a,동물병원,8816176,34
20240107,일요일,3,다사611b576b,편의점,11209,9
20240107,일요일,1,다사518a424a,한식,823941,11
20240107,일요일,4,다사593a531a,편의점,301481,37
20240107,일요일,1,다사488b505a,한식,1931529,35
20240107,일요일,5,다사428b446b,슈퍼마켓일반형,2638499,184
20240107,일요일,3,다사434a475a,한식,219416,8
20240107,일요일,6,다사548a433b,편의점,247006,48
20240107,일요일,1,다사517b423a,ZZ_나머지,117316,22
20240107,일요일,2,다사405b522a,세탁소,130008,7
20240107,일요일,5,다사601a463a,편의점,585259,64
20240107,일요일,2,다사598a430a,편의점,85027,11
20240107,일요일,6,다사480a582b,편의점,419116,55
20240107,일요일,6,다사480a539b,실내/실외골프장,168937,6
20240107,일요일,5,다사580b532a,편의점,329494,29
20240107,일요일,2,다사510b551a,편의점,179145,33
20240107,일요일,1,다사610b617b,"모텔,여관,기타숙박",531086,4
20240107,일요일,4,다사551a521a,기타요식,123446,15
20240107,일요일,4,다사517b517b,양식,85744,6
20240107,일요일,5,다사417b513b,일식,262444,18
20240107,일요일,5,다사597b419a,일식,236752,11
20240107,일요일,4,다사636b452b,화원,136050,13
20240107,일요일,4,다사540a523b,한식,81285,5
20240107,일요일,5,다사630a487b,편의점,493189,77
20240107,일요일,5,다사588a626b,기타요식,37696,9
20240107,일요일,1,다사583a624a,편의점,249087,30
20240107,일요일,3,다사559b537a,양식,325155,6
20240107,일요일,5,다사595b588a,커피전문점,248832,77
20240107,일요일,2,다사581b448b,제과점,71437,4
20240107,일요일,5,다사596b518b,편의점,937048,104
20240107,일요일,5,다사491a541a,커피전문점,107741,23
20240107,일요일,6,다사596b429b,양식,1430149,17
