페르소나,구,L1_품질점수,L2_매칭점수,최종점수,인구통계,소비패턴,소득수준,업종선호,추천이유,순위
20대 대학생 김민수,마포구,64.8,81.9,53.1,77.6,98.3,70,60.0,"소비 취향이 잘 맞음 / 젊은 문화 중심지, 2030 밀집",1
20대 대학생 김민수,영등포구,64.1,58.1,37.2,50.8,90.8,40,0.0,"소비 취향이 잘 맞음 / 직장인 밀집, 평일 중심 상권",2
20대 대학생 김민수,중구,66.9,55.4,37.1,42.4,92.7,40,0.0,"소비 취향이 잘 맞음 / 비즈니스 중심지, 업종 다양성 최고",3
20대 대학생 김민수,서초구,64.0,52.8,33.8,38.6,89.7,40,0.0,"소비 취향이 잘 맞음 / 고급 주거지, 가족 단위 소비",4
20대 대학생 김민수,강남구,59.4,54.4,32.3,44.8,87.1,40,0.0,"소비 취향이 잘 맞음 / 고소득층, 교육·자기계발 중심",5
40대 직장인 박영희,중구,66.9,67.1,44.9,49.6,99.2,70,20.0,"소비 취향이 잘 맞음 / 비즈니스 중심지, 업종 다양성 최고",1
40대 직장인 박영희,서초구,64.0,68.6,43.9,48.6,97.6,100,0.0,"소비 취향이 잘 맞음 / 가격대가 적절함 / 고급 주거지, 가족 단위 소비",2
40대 직장인 박영희,영등포구,64.1,61.7,39.5,41.2,99.3,70,0.0,"소비 취향이 잘 맞음 / 직장인 밀집, 평일 중심 상권",3
40대 직장인 박영희,강남구,59.4,65.1,38.7,42.4,94.6,100,0.0,"소비 취향이 잘 맞음 / 가격대가 적절함 / 고소득층, 교육·자기계발 중심",4
40대 직장인 박영희,마포구,64.8,50.7,32.9,28.8,89.0,40,20.0,"소비 취향이 잘 맞음 / 젊은 문화 중심지, 2030 밀집",5
30대 맞벌이 부부 이지훈·최수진,서초구,64.0,69.2,44.3,54.8,99.3,70,20.0,"소비 취향이 잘 맞음 / 고급 주거지, 가족 단위 소비",1
30대 맞벌이 부부 이지훈·최수진,중구,66.9,63.0,42.1,54.8,94.6,40,20.0,"소비 취향이 잘 맞음 / 비즈니스 중심지, 업종 다양성 최고",2
30대 맞벌이 부부 이지훈·최수진,강남구,59.4,69.3,41.2,61.2,92.3,70,20.0,"소비 취향이 잘 맞음 / 고소득층, 교육·자기계발 중심",3
30대 맞벌이 부부 이지훈·최수진,영등포구,64.1,62.3,39.9,58.0,94.5,40,0.0,"소비 취향이 잘 맞음 / 직장인 밀집, 평일 중심 상권",4
30대 맞벌이 부부 이지훈·최수진,마포구,64.8,59.6,38.6,54.8,90.5,40,0.0,"소비 취향이 잘 맞음 / 젊은 문화 중심지, 2030 밀집",5
