구,종합점수,상업활동점수,특화도점수,인구통계점수,경제력점수,등급,등급설명,주요특화업종,특화비율,업종수,CV,성장률,순위
중구,66.9,79.6,70.0,49.1,62.8,B급,보통 상권,결제대행(PG) 특화 (35.0%),50.0,15,17.0,1.38% (→유지),1
마포구,64.8,57.8,72.7,48.6,78.3,B급,보통 상권,ZZ_나머지,52.7,8,17.1,+1.67% (↑상승),2
영등포구,64.1,48.1,80.2,48.2,80.0,B급,보통 상권,ZZ_나머지,60.2,6,17.3,+2.01% (↑상승),3
서초구,64.0,54.5,96.8,40.2,61.6,B급,보통 상권,한식,90.5,8,19.9,-0.79% (→유지),4
관악구,63.0,37.4,90.5,45.6,80.0,B급,보통 상권,일식,71.4,4,18.1,+2.00% (↑상승),5
동작구,60.8,25.0,98.7,38.5,83.8,B급,보통 상권,슈퍼마켓기업형,96.4,2,20.5,+2.76% (↑상승),6
강남구,59.4,70.9,51.4,49.8,61.2,C급,개선 필요,학원/학습지,31.4,14,16.8,0.62% (→유지),7
중랑구,59.1,33.1,80.1,46.9,79.2,C급,개선 필요,미용실,60.1,3,17.7,+1.84% (↑상승),8
성북구,59.1,26.8,80.8,43.1,89.2,C급,개선 필요,제과점,60.8,2,19.0,+3.83% (↑상승),9
강북구,58.8,37.3,92.7,45.4,61.4,C급,개선 필요,한식,78.2,4,18.2,0.68% (→유지),10
구로구,57.5,37.0,70.0,44.6,79.8,C급,개선 필요,결제대행(PG) 특화 (55.1%),50.0,4,18.5,+1.96% (↑상승),11
노원구,57.0,31.8,92.3,43.5,62.8,C급,개선 필요,기타식품,76.9,3,18.8,1.42% (→유지),12
용산구,56.4,62.8,49.1,49.0,61.9,C급,개선 필요,"호텔/콘도(29.4%), 결제대행(PG)(25.2%)",29.4,9,17.0,0.95% (→유지),13
강동구,55.1,25.9,95.6,40.7,61.3,C급,개선 필요,대형마트,87.1,2,19.8,0.63% (→유지),14
광진구,55.1,25.2,99.0,38.9,60.0,C급,개선 필요,제과점,97.4,2,20.4,0.02% (→유지),15
성동구,54.8,26.0,93.7,40.9,61.6,C급,개선 필요,주유소,81.3,2,19.7,0.81% (→유지),16
은평구,54.7,32.6,81.7,45.5,61.5,C급,개선 필요,대형마트,61.7,3,18.2,0.74% (→유지),17
동대문구,53.6,32.8,78.1,46.0,60.4,C급,개선 필요,생활잡화/수입상품점,58.1,3,18.0,0.18% (→유지),18
금천구,52.7,37.3,67.7,45.3,62.1,C급,개선 필요,대형마트,47.7,4,18.2,1.06% (→유지),19
종로구,52.2,43.2,57.5,47.9,61.3,C급,개선 필요,한식,37.5,5,17.4,0.64% (→유지),20
도봉구,50.3,32.8,65.3,45.9,60.1,C급,개선 필요,실내/실외골프장,45.3,3,18.0,-0.03% (→유지),21
송파구,48.6,25.8,70.0,40.4,61.3,D급,저활성 지역,전자상거래(다품목취급) 특화 (94.,50.0,2,19.9,-0.63% (→유지),22
서대문구,45.4,32.4,81.1,44.9,25.8,D급,저활성 지역,백화점,61.1,3,18.4,-2.42% (↓하락),23
강서구,35.9,19.4,30.0,36.5,61.3,D급,저활성 지역,데이터 부족,0.0,1,21.2,0.63% (→유지),24
