구,변동계수(%),총소비금액(원),평균일일소비(원),데이터일수
강남구,16.75,25894617921,47339338,547
중구,16.98,40287133025,73651065,547
용산구,16.99,5025188773,9186816,547
마포구,17.13,35201039986,64352906,547
영등포구,17.26,7121535145,13019259,547
종로구,17.37,2484950157,4542870,547
중랑구,17.71,3294351767,6022580,547
동대문구,18.01,1711708695,3129266,547
도봉구,18.04,1000886062,1829773,547
관악구,18.13,3007243967,5497703,547
은평구,18.18,35824707864,65493067,547
강북구,18.21,12544436301,22933155,547
금천구,18.24,5840335938,10677030,547
서대문구,18.35,4553096959,8323760,547
구로구,18.48,21969621916,40163842,547
노원구,18.84,4045383907,7395583,547
성북구,18.98,810162932,1481102,547
성동구,19.69,2276934167,4162585,547
강동구,19.76,942051537,1722214,547
송파구,19.86,8414170489,15382395,547
서초구,19.92,22945988211,41948790,547
광진구,20.36,5053305714,9238218,547
동작구,20.49,5553802138,10153203,547
강서구,21.16,12412097970,22691221,547
