구,특징,업종다양성,소비안정성,성장률
강남구,"백화점(28.8%), 카페(24.5%)",낮음(8개),매우안정(3.0%),+1.91% (↑상승)
강동구,카페 특화 (32.0%),낮음(7개),매우안정(3.7%),0.77% (→유지)
강북구,카페 특화 (30.3%),낮음(7개),매우안정(3.1%),0.69% (→유지)
강서구,"카페(28.4%), 한식(25.3%)",낮음(7개),매우안정(5.5%),0.45% (→유지)
관악구,카페 특화 (46.4%),낮음(5개),매우안정(3.5%),1.39% (→유지)
광진구,"한식(29.3%), 편의점(26.8%)",낮음(7개),매우안정(3.1%),1.33% (→유지)
구로구,카페 특화 (40.8%),낮음(6개),매우안정(3.4%),1.06% (→유지)
금천구,카페 특화 (30.1%),낮음(7개),매우안정(2.9%),1.17% (→유지)
노원구,한식 특화 (41.9%),낮음(6개),매우안정(3.3%),1.16% (→유지)
도봉구,"카페(27.3%), 한식(24.8%)",낮음(7개),매우안정(3.8%),1.34% (→유지)
동대문구,"카페(28.7%), 편의점(23.4%)",낮음(7개),매우안정(3.5%),1.43% (→유지)
동작구,한식 특화 (37.0%),낮음(6개),매우안정(3.4%),1.14% (→유지)
마포구,일식 특화 (42.5%),낮음(5개),매우안정(3.5%),1.41% (→유지)
서대문구,"카페(26.2%), 편의점(25.9%)",낮음(7개),매우안정(3.0%),0.75% (→유지)
서초구,"일식(27.7%), 백화점(23.5%)",낮음(7개),매우안정(3.0%),+1.81% (↑상승)
성동구,한식 특화 (39.2%),낮음(6개),매우안정(3.5%),1.44% (→유지)
성북구,한식 특화 (32.0%),낮음(7개),매우안정(3.7%),1.20% (→유지)
송파구,카페 특화 (35.6%),낮음(6개),매우안정(3.4%),1.24% (→유지)
영등포구,한식 특화 (36.8%),낮음(5개),매우안정(3.5%),0.97% (→유지)
용산구,카페 특화 (36.3%),낮음(5개),매우안정(3.4%),1.47% (→유지)
은평구,한식 특화 (31.5%),낮음(7개),매우안정(3.0%),+2.03% (↑상승)
종로구,카페 특화 (39.5%),낮음(6개),매우안정(3.3%),1.21% (→유지)
중구,일식 특화 (31.6%),낮음(6개),매우안정(3.2%),1.10% (→유지)
중랑구,한식 특화 (33.4%),낮음(6개),매우안정(3.4%),1.04% (→유지)
