구,특징,업종다양성,소비안정성,성장률,특화업종,특화비율,업종수,변동계수,성장률수치
강남구,"편의점(26.8%), 의료기관(23.7%)",낮음(5개),매우안정(12.1%),+9.03% (↑상승),,,5,12.09,9.03
강동구,"주유소(17.3%), 의료기관(15.8%)",보통(9개),안정적(17.8%),1.05% (→유지),,,9,17.76,1.05
강북구,주유소 특화 (37.3%),낮음(4개),변동성높음(31.5%),-4.16% (↓하락),주유소,37.3,4,31.52,-4.16
강서구,"의료기관(18.1%), 미용실(16.8%)",보통(9개),보통(27.3%),+1.88% (↑상승),,,9,27.35,1.88
관악구,의료기관 특화 (37.0%),낮음(4개),변동성높음(33.5%),-4.89% (↓하락),의료기관,37.0,4,33.53,-4.89
광진구,"의료기관(18.8%), 일식(16.7%)",보통(9개),보통(26.3%),0.96% (→유지),,,9,26.26,0.96
구로구,미용실 특화 (39.2%),낮음(4개),변동성높음(35.3%),-7.01% (↓하락),미용실,39.2,4,35.31,-7.01
금천구,일식 특화 (37.2%),낮음(4개),변동성높음(32.7%),-5.21% (↓하락),일식,37.2,4,32.72,-5.21
노원구,"의료기관(17.8%), 일식(16.0%)",높음(9개),안정적(18.9%),-2.85% (↓하락),,,9,18.86,-2.85
도봉구,미용실 특화 (37.2%),낮음(4개),변동성높음(34.4%),-3.37% (↓하락),미용실,37.2,4,34.44,-3.37
동대문구,"일식(17.6%), 미용실(15.9%)",보통(9개),보통(22.7%),+2.53% (↑상승),,,9,22.67,2.53
동작구,"의료기관(19.0%), 미용실(16.6%)",높음(9개),안정적(15.1%),+5.91% (↑상승),,,9,15.13,5.91
마포구,"편의점(17.3%), 주유소(15.8%)",높음(9개),매우안정(12.6%),+6.11% (↑상승),,,9,12.6,6.11
서대문구,"미용실(17.6%), 주유소(15.9%)",보통(9개),안정적(17.1%),1.28% (→유지),,,9,17.08,1.28
서초구,"주유소(22.5%), 의료기관(22.5%)",낮음(5개),매우안정(13.0%),+7.06% (↑상승),,,5,13.03,7.06
성동구,"미용실(17.6%), 의료기관(15.9%)",높음(9개),매우안정(13.5%),+8.13% (↑상승),,,9,13.48,8.13
성북구,"주유소(17.6%), 미용실(15.9%)",보통(9개),보통(24.8%),0.32% (→유지),,,9,24.79,0.32
송파구,"일식(24.9%), 의료기관(17.9%)",높음(9개),보통(20.6%),+5.78% (↑상승),,,9,20.58,5.78
양천구,데이터 없음,높음(9개),데이터 없음,데이터 없음,,,0,0.0,
영등포구,"주유소(28.1%), 편의점(20.3%)",높음(9개),안정적(19.5%),+8.13% (↑상승),,,9,19.46,8.13
용산구,"주유소(27.9%), 의료기관(22.4%)",높음(9개),매우안정(14.3%),+4.56% (↑상승),,,9,14.3,4.56
은평구,"대형마트(25.2%), 의료기관(15.6%)",높음(9개),안정적(17.6%),-4.51% (↓하락),,,9,17.59,-4.51
종로구,"미용실(17.6%), 대형마트(15.9%)",보통(9개),보통(21.8%),+1.87% (↑상승),,,9,21.78,1.87
중구,"결제대행(PG)(24.7%), 카페(19.2%)",보통(9개),보통(25.7%),0.56% (→유지),,,9,25.7,0.56
중랑구,대형마트 특화 (30.7%),보통(9개),보통(24.8%),+2.73% (↑상승),대형마트,30.7,9,24.77,2.73
