페르소나,추천순위,구,최종점수,Level1_품질,Level2_매칭,인구통계매칭,소비패턴매칭,소득매칭,업종매칭
20대 대학생 김민수,1,관악구,45.4,63.0,72.1,74.9,90.5,70,0.0
20대 대학생 김민수,2,동작구,42.6,60.8,70.1,62.1,99.4,70,0.0
20대 대학생 김민수,3,중랑구,39.9,59.1,67.6,63.0,91.0,70,0.0
20대 대학생 김민수,4,종로구,37.1,52.2,71.1,66.7,96.9,70,0.0
20대 대학생 김민수,5,강남구,37.0,59.4,62.3,70.4,67.5,70,0.0
40대 직장인 박영희,1,중구,52.3,66.9,78.3,87.7,93.3,70,0.0
40대 직장인 박영희,2,마포구,51.5,64.8,79.5,85.1,100.0,70,0.0
40대 직장인 박영희,3,노원구,44.5,57.0,78.0,84.3,96.5,70,0.0
40대 직장인 박영희,4,동작구,44.0,60.8,72.4,67.8,99.4,70,0.0
40대 직장인 박영희,5,금천구,40.0,52.7,76.0,83.8,91.4,70,0.0
30대 맞벌이 부부,1,영등포구,47.5,64.1,74.0,88.7,93.0,40,0.0
30대 맞벌이 부부,2,서초구,46.6,64.0,72.8,90.0,87.9,40,0.0
30대 맞벌이 부부,3,강북구,43.3,58.8,73.7,90.0,90.5,40,0.0
30대 맞벌이 부부,4,마포구,43.1,64.8,66.5,64.1,99.5,40,0.0
30대 맞벌이 부부,5,광진구,42.0,55.1,76.3,90.0,98.0,40,0.0
